stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,geometry_point
4216,4216,Century Park Transit Centre Bay P,,53.457322,-113.51597,1EDM,,0,,POINT (-113.51597 53.457322)
1965,1965,127 Street & 122 Avenue,,53.576731,-113.541748,1EDM,,0,,POINT (-113.541748 53.576731)
22655,22655,97 Street & 74 Avenue,,53.510218,-113.479844,1EDM,,0,,POINT (-113.479844 53.510218)
1091,1091,45 Street & 118 Avenue,,53.570427,-113.411149,1EDM,,0,,POINT (-113.411149 53.570427)
99208,99208,Allard Road & Allard Boulevard SW,,53.397267,-113.527505,1EDM,,0,,POINT (-113.527505 53.397267)
A0797,0797,Giroux Rd & Dunfield Cr,,53.646243,-113.662772,2STA,,0,,POINT (-113.662772 53.646243)
A0378,0378,St Albert Trail & Gate Avenue,,53.623073,-113.612672,2STA,,0,,POINT (-113.612672 53.623073)
4283,4283,115A Street & 15 Avenue,,53.447551,-113.535795,1EDM,,0,,POINT (-113.535795 53.447551)
5715,5715,187 Street & 49 Avenue,,53.485695,-113.647403,1EDM,,0,,POINT (-113.647403 53.485695)
A0026,0026,Erin Ridge Dr & Eastgate Way,,53.666904,-113.617819,2STA,,0,,POINT (-113.617819 53.666904)
2879,2879,106 Street & 56 Avenue,,53.493632,-113.504294,1EDM,,0,,POINT (-113.504294 53.493632)
3360,3360,Youville Drive W & 29 Avenue,,53.46029,-113.430279,1EDM,,0,,POINT (-113.430279 53.46029)
A0133,0133,Mission Ave & St Vital Ave,,53.633582,-113.639723,2STA,,0,,POINT (-113.639723 53.633582)
A0421,0421,Deerbourne Dr & Doolan Pl,,53.655005,-113.637934,2STA,,0,,POINT (-113.637934 53.655005)
2452,2452,Calgary Trail & 48 Avenue,,53.485233,-113.494994,1EDM,,0,,POINT (-113.494994 53.485233)
5467,5467,156 Street & 116 Avenue,,53.56614,-113.590538,1EDM,,0,,POINT (-113.590538 53.56614)
5198,5198,142 Street & Valleyview Drive,,53.527597,-113.565526,1EDM,,0,,POINT (-113.565526 53.527597)
S1033,1033,Georgian Wy & Greengrove Av,,53.534155,-113.280208,4SCT,,0,,POINT (-113.280208 53.534155)
7133,7133,66 Street & 146 Avenue,,53.607207,-113.443059,1EDM,,0,,POINT (-113.443059 53.607207)
7638,7638,Victoria Trail & Hermitage Road,,53.579569,-113.38389,1EDM,,0,,POINT (-113.38389 53.579569)
3288,3288,66 Street & 38 Avenue,,53.474249,-113.438316,1EDM,,0,,POINT (-113.438316 53.474249)
3146,3146,42 Street & Mill Woods Road S,,53.442967,-113.407592,1EDM,,0,,POINT (-113.407592 53.442967)
7657,7657,Hyndman Crescent & Hermitage Road,,53.578219,-113.379728,1EDM,,0,,POINT (-113.379728 53.578219)
4814,4814,Leger Transit Centre Bay N,,53.455121,-113.579268,1EDM,,0,,POINT (-113.579268 53.455121)
22083,22083,97 Street & 56 Avenue,,53.491939,-113.479297,1EDM,,0,,POINT (-113.479297 53.491939)
7959,7959,82 Street & 160 Avenue,,53.620847,-113.46818,1EDM,,0,,POINT (-113.46818 53.620847)
77851,77851,McConachie Boulevard & 175 Avenue,,53.636309,-113.42641,1EDM,,0,,POINT (-113.42641 53.636309)
7266,7266,85 Street & 132 Avenue,,53.592286,-113.47147,1EDM,,0,,POINT (-113.47147 53.592286)
3710,3710,Meadows Transit Centre Bay J,,53.478568,-113.368005,1EDM,,0,,POINT (-113.368005 53.478568)
A0011,0011,Gatewood Ave & Grenfell Ave,,53.62128,-113.63609,2STA,,0,,POINT (-113.63609 53.62128)
2895,2895,109 Street & 60 Avenue,,53.49689,-113.511981,1EDM,,0,,POINT (-113.511981 53.49689)
3449,3449,Jackson Road & 44 Avenue,,53.482046,-113.411949,1EDM,,0,,POINT (-113.411949 53.482046)
4124,4124,Saddleback Road & 26 Avenue,,53.458778,-113.529923,1EDM,,0,,POINT (-113.529923 53.458778)
A0064,0064,Kingswood Blvd & Kingsdale Cres,,53.647313,-113.588797,2STA,,0,,POINT (-113.588797 53.647313)
7240,7240,26 Street & 139 Avenue,,53.602754,-113.382042,1EDM,,0,,POINT (-113.382042 53.602754)
3012,3012,Lakewood 3012,,53.458543,-113.445898,1EDM,,0,,POINT (-113.445898 53.458543)
99057,99057,Desrochers Drive & 35 Avenue SW,,53.40135,-113.549998,1EDM,,0,,POINT (-113.549998 53.40135)
S9184,9184,Granada Blvd & Colwil Blvd,,53.523249,-113.27038,4SCT,,0,,POINT (-113.27038 53.523249)
1932,1932,127 Street & 124 Avenue,,53.579017,-113.541323,1EDM,,0,,POINT (-113.541323 53.579017)
7144,7144,51 Street & 144 Avenue,,53.606838,-113.41947,1EDM,,0,,POINT (-113.41947 53.606838)
9404,9404,Allard Boulevard & Allbright Square SW,,53.397409,-113.529745,1EDM,,0,,POINT (-113.529745 53.397409)
S9353,9353,Clover Bar Rd & Wye Rd,,53.513153,-113.270316,4SCT,,0,,POINT (-113.270316 53.513153)
A0250,0250,Element Dr & RONA,,53.669942,-113.633036,2STA,,0,,POINT (-113.633036 53.669942)
5174,5174,149 Street & 76 Avenue,,53.508611,-113.57811,1EDM,,0,,POINT (-113.57811 53.508611)
7487,7487,91 Street & 174 Avenue,,53.635691,-113.479556,1EDM,,0,,POINT (-113.479556 53.635691)
S6012,6012,Fir St & Willow St,,53.51365,-113.317499,4SCT,,0,,POINT (-113.317499 53.51365)
2428,2428,96 Street & 81 Avenue,,53.516731,-113.476632,1EDM,,0,,POINT (-113.476632 53.516731)
F3002,3002,99 Avenue and Highway 15 SB,,53.703097,-113.225705,6FST,,0,,POINT (-113.225705 53.703097)
3100,3100,102 Street & 15 Avenue,,53.442694,-113.491572,1EDM,,0,,POINT (-113.491572 53.442694)
1469,1469,93 Street & 118 Avenue,,53.570455,-113.484491,1EDM,,0,,POINT (-113.484491 53.570455)
9337,9337,61 Street & Watt Drive SW,,53.415364,-113.435941,1EDM,,0,,POINT (-113.435941 53.415364)
5359,5359,159 Street & 87 Avenue,,53.519398,-113.595722,1EDM,,0,,POINT (-113.595722 53.519398)
2949,2949,Malmo Road & 51 Avenue,,53.488155,-113.522083,1EDM,,0,,POINT (-113.522083 53.488155)
88246,88246,199 Streeet & Lessard Road,,53.477291,-113.671709,1EDM,,0,,POINT (-113.671709 53.477291)
1156,1156,32 Street & 118 Avenue,,53.57024,-113.390784,1EDM,,0,,POINT (-113.390784 53.57024)
S8802,8802,Premier Wy & Portage Ln,,53.561616,-113.316353,4SCT,,0,,POINT (-113.316353 53.561616)
55353,55353,Mayfield Common,,53.543017,-113.611726,1EDM,,0,,POINT (-113.611726 53.543017)
3603,3603,14 Street & Tamarack Green,,53.470256,-113.36196,1EDM,,0,,POINT (-113.36196 53.470256)
2706,2706,South Campus Fort Edmonton Transit Centre Bay F,,53.502694,-113.528964,1EDM,,0,,POINT (-113.528964 53.502694)
2680,2680,109 Street & 82 Avenue,,53.517994,-113.510829,1EDM,,0,,POINT (-113.510829 53.517994)
4470,4470,Carter Crest Road & Cheriton Crescent W,,53.462837,-113.578905,1EDM,,0,,POINT (-113.578905 53.462837)
4488,4488,Bulyea Road & Burley Road N,,53.471758,-113.571723,1EDM,,0,,POINT (-113.571723 53.471758)
